Associated Gene Name	Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	Band	Transcript count	Gene Biotype	Status (gene)
Xkrx	ENSMUSG00000031258	X	134149043	134162076	-1	E3	2	protein_coding	KNOWN
Eef2k	ENSMUSG00000035064	7	120842831	120907219	1	F2	9	protein_coding	KNOWN
Csrp2bp	ENSMUSG00000027425	2	144368983	144407676	1	G1	11	protein_coding	KNOWN
Wdr17	ENSMUSG00000039375	8	54629055	54887184	-1	B1.3	14	protein_coding	KNOWN
4930486L24Rik	ENSMUSG00000050345	13	60842621	60864416	-1	B2	1	protein_coding	KNOWN
Wdr37	ENSMUSG00000021147	13	8802968	8871909	-1	A1	16	protein_coding	KNOWN
9130221H12Rik	ENSMUSG00000090330	7	25228687	25230257	1	A3	1	protein_coding	KNOWN
Ctla2b	ENSMUSG00000074874	13	60895351	60897447	-1	B2	2	protein_coding	KNOWN
Slc29a2	ENSMUSG00000024891	19	5024006	5031971	1	A	1	protein_coding	KNOWN
Erf	ENSMUSG00000040857	7	25242561	25250761	-1	A3	2	protein_coding	KNOWN
Gm14327	ENSMUSG00000074521	2	177897096	177905784	1	H4	2	protein_coding	NOVEL
Arl13a	ENSMUSG00000052549	X	134187501	134208028	1	E3	1	protein_coding	KNOWN
Gm14572	ENSMUSG00000082102	X	40107814	40108389	-1	A4	1	pseudogene	KNOWN
C330013J21Rik	ENSMUSG00000074529	2	177903340	177925613	-1	H4	3	protein_coding	PUTATIVE
Tm4sf4	ENSMUSG00000027801	3	57425314	57441677	1	D	1	protein_coding	KNOWN
1110014N23Rik	ENSMUSG00000024797	19	6067842	6080324	-1	A	11	protein_coding	KNOWN
Gm14326	ENSMUSG00000078862	2	177935993	177957297	-1	H4	4	protein_coding	NOVEL
Fam178b	ENSMUSG00000046337	1	36562694	36683183	-1	B	7	protein_coding	KNOWN
Tpbpb	ENSMUSG00000062705	13	60901297	60904847	-1	B2	1	protein_coding	KNOWN
Cic	ENSMUSG00000005442	7	25267704	25294159	1	A3	15	protein_coding	KNOWN
Gm4986	ENSMUSG00000080996	X	40137008	40137556	-1	A4	1	pseudogene	KNOWN
Krt18	ENSMUSG00000023043	15	102028216	102032026	1	F2	1	protein_coding	KNOWN
Tmem8b	ENSMUSG00000078716	4	43668971	43692668	1	A5	9	protein_coding	KNOWN
Gm14575	ENSMUSG00000083665	X	40661423	40661982	1	A4	1	pseudogene	KNOWN
Seh1l	ENSMUSG00000079614	18	67774876	67795461	1	E1	1	protein_coding	KNOWN
St6galnac2	ENSMUSG00000057286	11	116675303	116694868	-1	E2	6	protein_coding	KNOWN
Gm14574	ENSMUSG00000083484	X	40691785	40692063	1	A4	1	pseudogene	KNOWN
Eif4b	ENSMUSG00000058655	15	102073773	102097172	1	F2	1	protein_coding	KNOWN
Gm15734	ENSMUSG00000089926	5	9264222	9266022	-1	A1	1	lincRNA	NOVEL
Gm15733	ENSMUSG00000086115	5	9353759	9354000	1	A1	1	pseudogene	KNOWN
Cep192	ENSMUSG00000024542	18	67800107	67885168	1	E1	1	protein_coding	KNOWN
Nt5c3l	ENSMUSG00000017176	11	100422321	100441808	-1	D	11	protein_coding	KNOWN
Zfpl1	ENSMUSG00000024792	19	6076487	6084944	-1	A	10	protein_coding	KNOWN
Gm14576	ENSMUSG00000084287	X	40927001	40928111	-1	A4	1	pseudogene	KNOWN
Etohi1	ENSMUSG00000074519	2	178023284	178034022	1	H4	2	protein_coding	KNOWN
Gm5385	ENSMUSG00000081880	X	41248575	41250133	1	A4	1	pseudogene	KNOWN
Polr3e	ENSMUSG00000030880	7	120917744	120947432	1	F2	2	protein_coding	KNOWN
5730522E02Rik	ENSMUSG00000073101	11	26210483	26210566	-1	A3.3	1	protein_coding	KNOWN
Wwtr1	ENSMUSG00000027803	3	57455649	57575910	-1	D	2	protein_coding	KNOWN
B3gnt1	ENSMUSG00000047379	19	5038826	5041134	1	A	1	protein_coding	KNOWN
Fancl	ENSMUSG00000004018	11	26386135	26471876	1	A3.3	5	protein_coding	KNOWN
Zfp931	ENSMUSG00000078861	2	178067695	178078476	-1	H4	4	protein_coding	NOVEL
Brms1	ENSMUSG00000080268	19	5041404	5049917	1	A	1	protein_coding	KNOWN
Ctla2a	ENSMUSG00000044258	13	60934155	60936625	-1	B2	1	protein_coding	KNOWN
Tpbpa	ENSMUSG00000033834	13	60938692	60941935	-1	B2	1	protein_coding	KNOWN
Rin1	ENSMUSG00000024883	19	5050808	5057071	1	A	1	protein_coding	KNOWN
Phactr3	ENSMUSG00000027525	2	178118975	178338492	1	H4	7	protein_coding	KNOWN
Gm14577	ENSMUSG00000083515	X	41372259	41372514	1	A4	1	pseudogene	KNOWN
Trmt2b	ENSMUSG00000067369	X	134222339	134276984	-1	E3	5	protein_coding	KNOWN
Gm14614	ENSMUSG00000082966	X	41685994	41686377	-1	A4	1	pseudogene	KNOWN
D18Ertd653e	ENSMUSG00000024544	18	67933257	68255549	1	E2	1	protein_coding	KNOWN
Gm14613	ENSMUSG00000081918	X	41742503	41742960	-1	A4	2	pseudogene	KNOWN
Gdap2	ENSMUSG00000027865	3	100162381	100206981	1	F2.2	3	protein_coding	KNOWN
Pstpip2	ENSMUSG00000025429	18	77794545	77882007	1	E3	1	protein_coding	KNOWN
Dock10	ENSMUSG00000038608	1	80501073	80758553	-1	C5	1	protein_coding	KNOWN
Proca1	ENSMUSG00000044122	11	78193392	78205763	1	B5	4	protein_coding	KNOWN
Ptplad2	ENSMUSG00000028497	4	88396144	88438928	-1	C4	3	protein_coding	KNOWN
Cd248	ENSMUSG00000056481	19	5068078	5070637	1	A	1	protein_coding	KNOWN
0610007P14Rik	ENSMUSG00000021252	12	85815448	85824550	-1	D2	5	protein_coding	KNOWN
Tmem151a	ENSMUSG00000061451	19	5070859	5085531	-1	A	5	protein_coding	KNOWN
Gm6586	ENSMUSG00000091487	5	10067365	10070678	1	A1	1	pseudogene	KNOWN
Gm17091	ENSMUSG00000091817	5	10537285	10539532	1	A1	1	pseudogene	KNOWN
AC109165.1	ENSMUSG00000096810	5	13042433	13043434	-1	A1	1	retrotransposed	NOVEL
Gm6647	ENSMUSG00000090991	5	13768662	13771887	1	A1	1	pseudogene	KNOWN
5430411K18Rik	ENSMUSG00000039840	18	77938467	78035027	1	E3	1	protein_coding	KNOWN
Cdr2	ENSMUSG00000030878	7	120957036	120982312	-1	F2	2	protein_coding	KNOWN
Gm6650	ENSMUSG00000090793	5	13811242	13814452	1	A1	1	pseudogene	KNOWN
Gm4128	ENSMUSG00000085352	5	14056438	14074157	-1	A1	1	antisense	NOVEL
4930506M07Rik	ENSMUSG00000041362	19	58973358	59076069	-1	D3	2	protein_coding	KNOWN
Speer7-ps1	ENSMUSG00000089871	5	15680710	15714596	1	A2	1	lincRNA	KNOWN
Gm6673	ENSMUSG00000091273	5	17223710	17227934	-1	A3	1	pseudogene	KNOWN
H2-T22	ENSMUSG00000056116	17	36037128	36042747	-1	B1	5	protein_coding	KNOWN
Gm7609	ENSMUSG00000079457	1	85199613	85213786	1	C5	4	pseudogene	KNOWN
4933427G17Rik	ENSMUSG00000030877	7	120982509	121014787	1	F2	4	protein_coding	KNOWN
Gm3495	ENSMUSG00000090750	5	17380573	17381699	1	A3	1	pseudogene	KNOWN
Gm17037	ENSMUSG00000091681	5	18623742	18626379	-1	A3	1	pseudogene	KNOWN
Gm7657	ENSMUSG00000081398	X	41916416	41917081	1	A4	1	pseudogene	KNOWN
Rpl31-ps5	ENSMUSG00000082716	5	20806090	20806464	1	A3	1	pseudogene	KNOWN
Arhgap22	ENSMUSG00000063506	14	33214026	33369934	1	B	8	protein_coding	KNOWN
AC121572.1	ENSMUSG00000096269	5	21119172	21119522	-1	A3	1	retrotransposed	NOVEL
Stk38l	ENSMUSG00000001630	6	146724995	146778812	1	G3	2	protein_coding	KNOWN
Gm15719	ENSMUSG00000081242	5	21689541	21690175	1	A3	1	pseudogene	KNOWN
4933403F05Rik	ENSMUSG00000038121	18	68260187	68300333	-1	E2	2	protein_coding	KNOWN
BC048609	ENSMUSG00000047733	19	6080033	6080788	1	A	2	protein_coding	KNOWN
Gm15715	ENSMUSG00000083006	5	21748231	21748513	-1	A3	1	pseudogene	KNOWN
Myl7	ENSMUSG00000020469	11	5896637	5898782	-1	A1	1	protein_coding	KNOWN
Gm9905	ENSMUSG00000053358	7	121033252	121035096	-1	F2	1	protein_coding	KNOWN
Gm16111	ENSMUSG00000090008	5	21889780	21890064	1	A3	1	pseudogene	KNOWN
Mettl9	ENSMUSG00000030876	7	121034445	121076834	1	F2	1	protein_coding	KNOWN
Gm10475	ENSMUSG00000073152	5	21910931	21954014	1	A3	1	antisense	NOVEL
Ctsj	ENSMUSG00000055298	13	61000278	61005916	-1	B2	1	protein_coding	KNOWN
Cdca5	ENSMUSG00000024791	19	6084983	6091777	1	A	3	protein_coding	KNOWN
Dnaja1-ps	ENSMUSG00000090197	5	21951858	21952499	-1	A3	1	pseudogene	KNOWN
Steap2	ENSMUSG00000015653	5	5664831	5694578	-1	A1	9	protein_coding	KNOWN
Gm16113	ENSMUSG00000089910	5	22281211	22281582	-1	A3	1	pseudogene	KNOWN
Rnmt	ENSMUSG00000009535	18	68300355	68324852	1	E2	8	protein_coding	KNOWN
Igsf6	ENSMUSG00000035004	7	121064067	121074530	-1	F2	1	protein_coding	KNOWN
Ttll5	ENSMUSG00000012609	12	85824659	86061893	1	D2	19	protein_coding	KNOWN
Ctsq	ENSMUSG00000021439	13	61035027	61040631	-1	B2	2	protein_coding	KNOWN
Pafah1b3	ENSMUSG00000005447	7	25295049	25297986	-1	A3	7	protein_coding	KNOWN
Gm16112	ENSMUSG00000089793	5	22292787	22293168	1	A3	1	pseudogene	KNOWN
Dpy19l1	ENSMUSG00000043067	9	24411776	24503140	-1	A4	6	protein_coding	KNOWN
Gm16110	ENSMUSG00000090226	5	22334442	22336118	1	A3	1	antisense	PUTATIVE
St6galnac1	ENSMUSG00000009588	11	116765025	116775507	-1	E2	1	protein_coding	KNOWN
Gm15421	ENSMUSG00000084235	5	22528321	22528719	-1	A3	1	pseudogene	KNOWN
Otoa	ENSMUSG00000034990	7	121083322	121163097	1	F2	6	protein_coding	KNOWN
Rpl17-ps5	ENSMUSG00000081855	5	22612591	22613217	-1	A3	2	pseudogene	KNOWN
Gm5135	ENSMUSG00000080798	X	41923255	41923827	-1	A4	1	pseudogene	KNOWN
Gm16028	ENSMUSG00000090252	1	85246851	85255465	1	C5	1	antisense	NOVEL
Ctsr	ENSMUSG00000055679	13	61159214	61164256	-1	B2	1	protein_coding	KNOWN
Gm14615	ENSMUSG00000082324	X	42128195	42130723	-1	A4	1	pseudogene	KNOWN
Gm6564	ENSMUSG00000060879	5	22931390	22932034	-1	A3	1	retrotransposed	KNOWN
Gm16026	ENSMUSG00000079455	1	85266698	85285491	1	C5	7	pseudogene	KNOWN
4933427G23Rik	ENSMUSG00000086697	5	23815618	23831897	-1	A3	2	pseudogene	KNOWN
Siglec15	ENSMUSG00000091055	18	78043614	78057395	-1	E3	1	protein_coding	KNOWN
Mxra7	ENSMUSG00000020814	11	116803062	116828046	-1	E2	3	protein_coding	KNOWN
Surf6	ENSMUSG00000036160	2	26888628	26902879	-1	A3	7	protein_coding	KNOWN
Supv3l1	ENSMUSG00000020079	10	62429209	62449738	-1	B4	5	protein_coding	KNOWN
Cbx7	ENSMUSG00000053411	15	79915807	79971119	-1	E1	9	protein_coding	KNOWN
Slc14a1	ENSMUSG00000059336	18	78100091	78142119	-1	E3	3	protein_coding	KNOWN
Gm9836	ENSMUSG00000081071	5	24256822	24257037	1	A3	1	pseudogene	KNOWN
6330439K17Rik	ENSMUSG00000037259	2	144470557	144527414	-1	G1	4	protein_coding	KNOWN
Srrd	ENSMUSG00000029346	5	112337392	112343040	-1	F	6	protein_coding	KNOWN
Prr19	ENSMUSG00000058741	7	25301359	25304133	1	A3	1	protein_coding	KNOWN
Jmjd6	ENSMUSG00000056962	11	116837432	116843449	-1	E2	7	protein_coding	KNOWN
P4ha2	ENSMUSG00000018906	11	54100095	54131665	1	B1.3	15	protein_coding	KNOWN
Tmem145	ENSMUSG00000043843	7	25306106	25316195	1	A3	3	protein_coding	KNOWN
Cdk17	ENSMUSG00000020015	10	93160876	93241342	1	C2	1	protein_coding	KNOWN
Yif1a	ENSMUSG00000024875	19	5088538	5092879	1	A	1	protein_coding	KNOWN
Dnttip2	ENSMUSG00000039756	3	122274414	122285269	1	G1	1	protein_coding	KNOWN
Naaladl1	ENSMUSG00000054999	19	6105782	6115792	1	A	1	protein_coding	KNOWN
Bcar3	ENSMUSG00000028121	3	122419780	122530180	1	G1	1	protein_coding	KNOWN
Supt6h	ENSMUSG00000002052	11	78206746	78245987	-1	B5	2	protein_coding	KNOWN
Cnih2	ENSMUSG00000024873	19	5092871	5098418	-1	A	1	protein_coding	KNOWN
Cts6	ENSMUSG00000021441	13	61195132	61203410	-1	B2	1	protein_coding	KNOWN
Gm14619	ENSMUSG00000083450	X	42347512	42347679	1	A4	1	pseudogene	KNOWN
1110005A03Rik	ENSMUSG00000090266	11	116843278	116854263	1	E2	8	protein_coding	NOVEL
Gck	ENSMUSG00000041798	11	5900820	5950081	-1	A1	4	protein_coding	KNOWN
Gm14578	ENSMUSG00000083098	X	42888730	42889120	-1	A4	1	pseudogene	KNOWN
Megf8	ENSMUSG00000045039	7	25317164	25365917	1	A3	2	protein_coding	KNOWN
Cts8	ENSMUSG00000057446	13	61246747	61255348	-1	B2	1	protein_coding	KNOWN
Commd2	ENSMUSG00000036513	3	57642904	57651715	-1	D	3	protein_coding	KNOWN
Myl6	ENSMUSG00000090841	10	128490860	128493875	-1	D3	1	protein_coding	KNOWN
Hs3st2	ENSMUSG00000046321	7	121392296	121501768	1	F2	1	protein_coding	KNOWN
Slc14a2	ENSMUSG00000024552	18	78146940	78209094	-1	E3	2	protein_coding	KNOWN
Usp31	ENSMUSG00000063317	7	121642021	121707253	-1	F2	1	protein_coding	KNOWN
Olfr70	ENSMUSG00000050215	4	43695000	43700807	-1	B1	1	protein_coding	KNOWN
Rab1b	ENSMUSG00000024870	19	5099207	5106996	-1	A	1	protein_coding	KNOWN
1700069B07Rik	ENSMUSG00000053081	7	121707189	121708011	1	F2	1	protein_coding	KNOWN
Olfr71	ENSMUSG00000046450	4	43705628	43710231	-1	B1	2	protein_coding	KNOWN
Scnn1g	ENSMUSG00000000216	7	121734479	121768475	1	F2	1	protein_coding	KNOWN
Cox5b	ENSMUSG00000061518	1	36691487	36693385	1	B	1	protein_coding	KNOWN
Gm15589	ENSMUSG00000086729	5	24333923	24337216	1	A3	1	antisense	PUTATIVE
Cts7	ENSMUSG00000021440	13	61352461	61358170	-1	B2	1	protein_coding	KNOWN
Actr1b	ENSMUSG00000037351	1	36699202	36714422	-1	B	7	protein_coding	KNOWN
Tenc1	ENSMUSG00000037003	15	102102988	102116401	1	F2	2	protein_coding	KNOWN
Gm15587	ENSMUSG00000086769	5	24366192	24383614	-1	A3	2	antisense	NOVEL
Hrct1	ENSMUSG00000071001	4	43727198	43728639	1	B1	1	protein_coding	KNOWN
Sycp2	ENSMUSG00000060445	2	178345293	178407685	-1	H4	4	protein_coding	KNOWN
1700022A21Rik	ENSMUSG00000038165	5	24647684	24648739	1	A3	1	retrotransposed	KNOWN
Gm15552	ENSMUSG00000087314	5	24873544	24875934	1	A3	1	antisense	NOVEL
Sac3d1	ENSMUSG00000024790	19	6116004	6118586	-1	A	1	protein_coding	KNOWN
Ctsm	ENSMUSG00000074871	13	61536444	61541839	-1	B2	1	protein_coding	KNOWN
Klc2	ENSMUSG00000024862	19	5107746	5118560	-1	A	9	protein_coding	KNOWN
4933426D04Rik	ENSMUSG00000086446	5	24902569	24906850	1	A3	1	antisense	KNOWN
Snx15	ENSMUSG00000024787	19	6119399	6128304	-1	A	7	protein_coding	KNOWN
Scnn1b	ENSMUSG00000030873	7	121865111	121918515	1	F2	1	protein_coding	KNOWN
Olfr159	ENSMUSG00000044801	4	43770050	43771009	-1	B1	1	protein_coding	KNOWN
2900005J15Rik	ENSMUSG00000043833	5	25100983	25110109	1	A3	2	lincRNA	KNOWN
Olfr156	ENSMUSG00000059448	4	43820335	43821433	-1	B1	1	protein_coding	KNOWN
Hspe1-ps3	ENSMUSG00000092344	5	25391608	25391884	1	A3	1	pseudogene	KNOWN
Olfr157	ENSMUSG00000059101	4	43834752	43836517	-1	B1	1	protein_coding	KNOWN
Gm20432	ENSMUSG00000092181	5	25433036	25433285	-1	A3	1	pseudogene	KNOWN
Rims3	ENSMUSG00000032890	4	120854816	120896579	1	D2.2	4	protein_coding	KNOWN
Olfr155	ENSMUSG00000071000	4	43851565	43855463	1	B1	2	protein_coding	KNOWN
Gm18343	ENSMUSG00000092510	5	25450305	25450908	1	A3	1	pseudogene	KNOWN
Gm5067	ENSMUSG00000090671	5	26007027	26008035	1	B1	1	pseudogene	KNOWN
Tmem35	ENSMUSG00000033578	X	134295225	134305969	1	E3	1	protein_coding	KNOWN
Fnbp1l	ENSMUSG00000039735	3	122538719	122619667	-1	G1	3	protein_coding	KNOWN
Cog7	ENSMUSG00000034951	7	121922839	121981711	-1	F2	2	protein_coding	KNOWN
Gm16056	ENSMUSG00000080941	5	26859967	26860101	-1	B1	1	pseudogene	KNOWN
Gm16057	ENSMUSG00000081970	5	27005940	27007621	-1	B1	1	pseudogene	KNOWN
Gm10123	ENSMUSG00000062933	9	96895617	96896352	1	E3.3	1	protein_coding	KNOWN
Cnfn	ENSMUSG00000063651	7	25367616	25369724	-1	A3	2	protein_coding	KNOWN
Gm2619	ENSMUSG00000091199	1	85308659	85327306	-1	C5	2	pseudogene	KNOWN
Spsb4	ENSMUSG00000046997	9	96943482	97018843	-1	E3.3	4	protein_coding	KNOWN
Cts3	ENSMUSG00000074870	13	61564631	61570127	-1	B2	1	protein_coding	KNOWN
Klhl10	ENSMUSG00000001558	11	100441917	100457022	1	D	2	protein_coding	KNOWN
Gm6133	ENSMUSG00000090451	18	78349754	78350701	1	E3	1	protein_coding	KNOWN
Gm16025	ENSMUSG00000089652	1	85326729	85342615	1	C5	2	lincRNA	NOVEL
Lipe	ENSMUSG00000003123	7	25379527	25398710	-1	A3	4	protein_coding	KNOWN
Setbp1	ENSMUSG00000024548	18	78750380	79109391	-1	E3	2	protein_coding	KNOWN
Gm7281	ENSMUSG00000089937	1	85332716	85342086	-1	C5	1	pseudogene	KNOWN
Elk3	ENSMUSG00000008398	10	93247414	93311135	-1	C2	4	protein_coding	KNOWN
Reck	ENSMUSG00000028476	4	43875530	43944806	1	B1	3	protein_coding	KNOWN
Gm14587	ENSMUSG00000081300	X	43412086	43412743	-1	A4	1	pseudogene	KNOWN
Arntl2	ENSMUSG00000040187	6	146796055	146833529	1	G3	8	protein_coding	KNOWN
Gm14588	ENSMUSG00000082839	X	43473783	43473954	-1	A4	1	pseudogene	KNOWN
Gm14579	ENSMUSG00000083598	X	43589743	43590025	-1	A4	1	pseudogene	KNOWN
Gm16058	ENSMUSG00000086505	5	27552551	27553875	-1	B1	1	antisense	NOVEL
Fbxo44	ENSMUSG00000029001	4	148152800	148160482	-1	E2	10	protein_coding	KNOWN
Gga2	ENSMUSG00000030872	7	121986722	122021222	-1	F2	6	protein_coding	KNOWN
Gm362	ENSMUSG00000086223	X	43592968	43593532	1	A4	1	processed_transcript	PUTATIVE
Gm7420	ENSMUSG00000089975	5	29217724	29218569	1	B1	1	pseudogene	KNOWN
Gm410	ENSMUSG00000074591	3	57666485	57692537	-1	D	1	protein_coding	KNOWN
Pard6g	ENSMUSG00000056214	18	80046895	80119640	1	E3	1	protein_coding	KNOWN
Gm6083	ENSMUSG00000078182	5	29538153	29538509	1	B1	1	pseudogene	KNOWN
Myl6b	ENSMUSG00000039824	10	128494157	128498685	-1	D3	1	protein_coding	KNOWN
Gm16288	ENSMUSG00000085099	5	30240082	30240448	-1	B1	1	pseudogene	KNOWN
AC131065.1	ENSMUSG00000096597	18	80089297	80089962	-1	E3	1	protein_coding	NOVEL
Dpy19l2	ENSMUSG00000085576	9	24557048	24696293	-1	A4	1	protein_coding	KNOWN
Arl2	ENSMUSG00000024944	19	6134374	6141406	-1	A	3	protein_coding	KNOWN
Gm14580	ENSMUSG00000081856	X	43710391	43711108	1	A4	1	pseudogene	KNOWN
Gm9899	ENSMUSG00000053214	5	30577467	30578025	-1	B1	1	pseudogene	KNOWN
Gm15461	ENSMUSG00000087258	5	30817977	30822612	-1	B1	1	lincRNA	PUTATIVE
Med22	ENSMUSG00000015776	2	26905262	26910677	-1	A3	3	protein_coding	KNOWN
Atp6v1a	ENSMUSG00000052459	16	44085402	44139705	-1	B4	6	protein_coding	KNOWN
Ifnb1	ENSMUSG00000048806	4	88522025	88522794	-1	C4	1	protein_coding	KNOWN
Klhl11	ENSMUSG00000048732	11	100462614	100472741	-1	D	1	protein_coding	KNOWN
Mc5r	ENSMUSG00000007480	18	68337603	68339711	1	E2	1	protein_coding	KNOWN
Gm14628	ENSMUSG00000081036	X	43823924	43824558	1	A4	1	pseudogene	KNOWN
Mc2r	ENSMUSG00000045569	18	68406907	68429251	-1	E2	1	protein_coding	KNOWN
Abhd1	ENSMUSG00000006638	5	30950066	30955091	1	B1	4	lincRNA	KNOWN
Srsf2	ENSMUSG00000034120	11	116849901	116853094	-1	E2	5	protein_coding	KNOWN
Mapk8	ENSMUSG00000021936	14	33377898	33447158	-1	B	9	protein_coding	KNOWN
4732471J01Rik	ENSMUSG00000053714	7	25384805	25385573	1	A3	1	protein_coding	KNOWN
4930546C10Rik	ENSMUSG00000024546	18	68944633	68950141	-1	E2	1	protein_coding	KNOWN
Cxcl17	ENSMUSG00000060188	7	25400053	25412886	-1	A3	1	protein_coding	KNOWN
Myo1f	ENSMUSG00000024300	17	33555719	33607764	1	B1	4	protein_coding	KNOWN
Ceacam1	ENSMUSG00000074272	7	25461702	25477625	-1	A3	3	protein_coding	KNOWN
Adnp2	ENSMUSG00000053950	18	80126338	80151482	-1	E3	1	protein_coding	KNOWN
Tcf4	ENSMUSG00000053477	18	69344146	69687967	1	E2	15	protein_coding	KNOWN
Esyt1	ENSMUSG00000025366	10	128510248	128525859	-1	D3	1	protein_coding	KNOWN
Rbfa	ENSMUSG00000024570	18	80192265	80200658	-1	E3	1	protein_coding	KNOWN
Mfsd11	ENSMUSG00000020818	11	116852440	116875635	1	E2	12	protein_coding	KNOWN
Acly	ENSMUSG00000020917	11	100476353	100528000	-1	D	7	protein_coding	KNOWN
Gm16286	ENSMUSG00000024571	18	80206765	80212741	1	E3	9	protein_coding	NOVEL
Ears2	ENSMUSG00000030871	7	122037213	122067263	-1	F2	3	protein_coding	KNOWN
Zfp808	ENSMUSG00000074867	13	62129916	62173419	1	B3	1	protein_coding	KNOWN
Rab14	ENSMUSG00000026878	2	35180205	35201120	-1	B	8	protein_coding	KNOWN
Cenpi	ENSMUSG00000031262	X	134308084	134362639	1	E3	5	protein_coding	KNOWN
Ceacam2	ENSMUSG00000054385	7	25516042	25540004	-1	A3	4	protein_coding	KNOWN
Gm2666	ENSMUSG00000096292	1	85484252	85485142	-1	C5	1	pseudogene	KNOWN
Vax1	ENSMUSG00000006270	19	59166187	59171136	-1	D3	3	protein_coding	KNOWN
Hps4	ENSMUSG00000042328	5	112343083	112378414	1	F	7	protein_coding	KNOWN
Batf2	ENSMUSG00000039699	19	6140983	6172476	1	A	6	protein_coding	KNOWN
Ubfd1	ENSMUSG00000030870	7	122067175	122082194	1	F2	5	protein_coding	KNOWN
Fam46c	ENSMUSG00000044468	3	100451628	100489324	-1	F2.2	3	protein_coding	KNOWN
Gm6034	ENSMUSG00000073407	17	36042961	36058645	1	B1	1	protein_coding	KNOWN
Cd99l2	ENSMUSG00000035776	X	71420060	71492849	-1	A7.3	6	protein_coding	KNOWN
Gm11127	ENSMUSG00000079492	17	36055816	36058371	-1	B1	1	protein_coding	KNOWN
Gm12597	ENSMUSG00000096011	4	88557673	88558245	-1	C4	1	protein_coding	KNOWN
Man1a2	ENSMUSG00000008763	3	100562208	100685503	-1	F2.2	6	protein_coding	KNOWN
Slc25a36	ENSMUSG00000032449	9	97075597	97111157	-1	E3.3	9	protein_coding	KNOWN
Gm7092	ENSMUSG00000074261	7	25614621	25615892	-1	A3	1	protein_coding	KNOWN
Ndufab1	ENSMUSG00000030869	7	122085403	122101886	-1	F2	10	protein_coding	KNOWN
1700123I01Rik	ENSMUSG00000024786	19	6184388	6224225	1	A	2	protein_coding	NOVEL
Rnf13	ENSMUSG00000036503	3	57736066	57835233	1	D	1	protein_coding	KNOWN
Rpl7a	ENSMUSG00000062647	2	26910764	26913318	1	A3	7	protein_coding	KNOWN
Atp5sl	ENSMUSG00000057229	7	25619414	25625551	1	A3	5	protein_coding	KNOWN
Mgat5b	ENSMUSG00000043857	11	116918863	116986948	1	E2	4	protein_coding	KNOWN
Gm12427	ENSMUSG00000083222	3	98818082	98820019	-1	F2.2	1	pseudogene	KNOWN
Txnl4a	ENSMUSG00000057130	18	80206795	80223533	1	E3	4	protein_coding	KNOWN
Chtf8	ENSMUSG00000046691	8	106883863	106893601	-1	D3	6	protein_coding	KNOWN
B3gnt8	ENSMUSG00000059479	7	25627624	25629490	1	A3	1	protein_coding	KNOWN
Gm14604	ENSMUSG00000083028	X	44248833	44249274	-1	A4	1	pseudogene	KNOWN
Gm15469	ENSMUSG00000085493	5	31135753	31137344	-1	B1	1	antisense	NOVEL
Gm14603	ENSMUSG00000081704	X	44313270	44313717	-1	A4	1	pseudogene	KNOWN
Bckdha	ENSMUSG00000060376	7	25629852	25658761	-1	A3	1	protein_coding	KNOWN
Ifna14	ENSMUSG00000095896	4	88571229	88571798	-1	C4	1	protein_coding	KNOWN
4930566F21Rik	ENSMUSG00000086967	5	31486629	31495179	-1	B1	2	lincRNA	NOVEL
CT573034.1	ENSMUSG00000094942	13	62368863	62371936	-1	B3	1	protein_coding	KNOWN
Hsbp1l1	ENSMUSG00000078963	18	80229758	80247102	-1	E3	1	protein_coding	KNOWN
Itpa-ps3	ENSMUSG00000082775	X	44466839	44467233	-1	A4	1	pseudogene	KNOWN
Pdgfb	ENSMUSG00000000489	15	79995900	80014808	-1	E1	1	protein_coding	KNOWN
Gm17130	ENSMUSG00000091082	5	32005977	32010863	-1	B1	1	antisense	NOVEL
Gpha2	ENSMUSG00000024784	19	6226380	6227768	1	A	2	protein_coding	KNOWN
Ifna9	ENSMUSG00000095270	4	88591813	88592385	-1	C4	1	protein_coding	KNOWN
Palb2	ENSMUSG00000044702	7	122107262	122132946	-1	F2	8	protein_coding	KNOWN
Kcnk12	ENSMUSG00000050138	17	87745837	87797994	-1	E4	1	protein_coding	KNOWN
Exosc5	ENSMUSG00000061286	7	25659153	25668031	1	A3	1	protein_coding	KNOWN
Gm15615	ENSMUSG00000081200	5	32311922	32312119	-1	B1	1	pseudogene	KNOWN
Ifna12	ENSMUSG00000073811	4	88602580	88603376	-1	C4	1	protein_coding	KNOWN
Gm15613	ENSMUSG00000080753	5	32479560	32479885	-1	B1	1	pseudogene	KNOWN
Zfp935	ENSMUSG00000055228	13	62454323	62466709	-1	B3	1	protein_coding	KNOWN
Rpl13	ENSMUSG00000000740	8	123102350	123105244	1	E1	4	protein_coding	KNOWN
Ppp1r3d	ENSMUSG00000049999	2	178411206	178414472	-1	H4	1	protein_coding	KNOWN
Zap70	ENSMUSG00000026117	1	36761861	36782816	1	B	1	protein_coding	KNOWN
Gm14602	ENSMUSG00000080714	X	44529451	44529790	-1	A4	1	pseudogene	KNOWN
Zfp934	ENSMUSG00000074865	13	62517500	62520544	-1	B3	2	protein_coding	KNOWN
